LogID,Timestamp,LogLevel,Message,LogType
14,Tue Jan 28 11:24:08 2024,error,3624704] [client 209.38.208.202:40752] AH01630: client denied by server configuration: /var/www/rootly.com/server-status,T4
15,Tue Jan 28 11:29:15 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 494",T21
16,Tue Jan 28 11:29:15 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 495",T21
17,Tue Jan 28 11:29:15 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 496",T21
18,Tue Jan 28 11:29:15 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 497",T21
19,Tue Jan 28 11:29:15 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 498",T21
20,Tue Jan 28 11:29:15 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 499",T21
21,Tue Jan 28 11:29:15 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 494",T21
22,Tue Jan 28 11:29:15 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 495",T21
23,Tue Jan 28 11:29:15 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 496",T21
24,Tue Jan 28 11:29:15 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 497",T21
25,Tue Jan 28 11:29:15 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 498",T21
26,Tue Jan 28 11:29:15 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 499",T21
27,Tue Jan 28 11:29:15 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 494",T21
28,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 498",T21
29,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 499",T21
30,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 494",T21
31,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 495",T21
32,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 496",T21
33,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 497",T21
34,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 498",T21
35,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 499",T21
36,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 494",T21
37,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 495",T21
38,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 496",T21
39,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 497",T21
40,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 498",T21
41,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 499",T21
42,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 494",T21
43,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 495",T21
44,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 496",T21
45,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 497",T21
46,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 498",T21
47,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 499",T21
48,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 494",T21
49,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 495",T21
50,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 496",T21
51,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 497",T21
52,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 498",T21
53,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 499",T21
54,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 494",T21
55,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 495",T21
56,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 496",T21
57,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 497",T21
58,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 498",T21
59,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 499",T21
60,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 494",T21
61,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 495",T21
62,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 496",T21
63,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 497",T21
64,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 498",T21
65,Tue Jan 28 11:29:16 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 499",T21
66,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 494",T21
67,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 495",T21
68,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 496",T21
69,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 497",T21
70,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 498",T21
71,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 499",T21
72,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 494",T21
73,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 495",T21
74,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 496",T21
75,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 497",T21
76,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 498",T21
77,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 499",T21
78,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 494",T21
79,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 495",T21
80,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 496",T21
81,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 497",T21
82,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 498",T21
83,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 499",T21
84,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 494",T21
85,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 495",T21
86,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 496",T21
87,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 497",T21
88,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 498",T21
89,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 499",T21
90,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 494",T21
91,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 495",T21
92,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 496",T21
93,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 497",T21
94,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 498",T21
95,Tue Jan 28 11:29:17 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 499",T21
96,Tue Jan 28 11:29:18 2024,warn,"3623857] [client 150.136.69.140:58487] PHP Warning:  Undefined array key ""HTTP_USER_AGENT"" in /var/www/sylvainkalache.com/wp-content/themes/themify-base/themify/themify-functions.php on line 494",T21
97,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
98,Tue Jan 28 16:21:20 2024,warn,"3626480] [client 134.209.255.169:4391] PHP Warning:  Undefined array key ""host"" in /var/www/rootly.com/wp-includes/canonical.php on line 717",T21
99,Tue Jan 28 16:21:20 2024,warn,"3626480] [client 134.209.255.169:4391] PHP Warning:  Undefined array key ""host"" in /var/www/rootly.com/wp-includes/canonical.php on line 728",T21
100,Tue Jan 28 16:21:20 2024,warn,"3626480] [client 134.209.255.169:4391] PHP Warning:  Undefined array key ""host"" in /var/www/rootly.com/wp-includes/canonical.php on line 731",T21
101,Tue Jan 28 16:21:22 2024,warn,"3625242] [client 134.209.255.169:14899] PHP Warning:  Undefined array key ""host"" in /var/www/rootly.com/wp-includes/canonical.php on line 717",T21
102,Tue Jan 28 16:21:22 2024,warn,"3625242] [client 134.209.255.169:14899] PHP Warning:  Undefined array key ""host"" in /var/www/rootly.com/wp-includes/canonical.php on line 728",T21
103,Tue Jan 28 16:21:22 2024,warn,"3625242] [client 134.209.255.169:14899] PHP Warning:  Undefined array key ""host"" in /var/www/rootly.com/wp-includes/canonical.php on line 731",T21
104,Tue Jan 28 16:35:08 2024,warn,"3626633] [client 188.166.167.124:10927] PHP Warning:  Undefined array key ""host"" in /var/www/rootly.com/wp-includes/canonical.php on line 717",T21
105,Tue Jan 28 16:35:08 2024,warn,"3626633] [client 188.166.167.124:10927] PHP Warning:  Undefined array key ""host"" in /var/www/rootly.com/wp-includes/canonical.php on line 728",T21
106,Tue Jan 28 16:35:08 2024,warn,"3626633] [client 188.166.167.124:10927] PHP Warning:  Undefined array key ""host"" in /var/www/rootly.com/wp-includes/canonical.php on line 731",T21
107,Tue Jan 28 16:35:10 2024,warn,"3625237] [client 188.166.167.124:21539] PHP Warning:  Undefined array key ""host"" in /var/www/rootly.com/wp-includes/canonical.php on line 717",T21
108,Tue Jan 28 16:35:10 2024,warn,"3625237] [client 188.166.167.124:21539] PHP Warning:  Undefined array key ""host"" in /var/www/rootly.com/wp-includes/canonical.php on line 728",T21
109,Tue Jan 28 16:35:10 2024,warn,"3625237] [client 188.166.167.124:21539] PHP Warning:  Undefined array key ""host"" in /var/www/rootly.com/wp-includes/canonical.php on line 731",T21
110,Tue Jan 28 17:55:56 2024,error,3626666] [client 220.250.52.123:51816] AH10244: invalid URI path (/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh),T8
111,Tue Jan 28 17:55:58 2024,error,3625535] [client 220.250.52.123:53928] AH10244: invalid URI path (/cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh),T8
112,Tue Jan 28 18:24:11 2024,error,3626644] [client 143.110.213.72:43230] AH01630: client denied by server configuration: /var/www/rootly.com/server-status,T4
113,Tue Jan 28 18:24:13 2024,error,3629038] [client 172.70.246.204:61322] AH01630: client denied by server configuration: /var/www/rootly.com/server-status,T4
114,Tue Jan 28 20:19:04 2024,error,3628850] [client 109.199.110.25:43124] AH10244: invalid URI path (/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh),T8
115,Tue Jan 28 20:19:04 2024,error,3629022] [client 109.199.110.25:43128] AH10244: invalid URI path (/cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh),T8
116,Tue Jan 28 22:26:18 2024,error,3630472] [client 39.74.77.222:41244] AH10244: invalid URI path (/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh),T8
117,Tue Jan 28 22:26:23 2024,error,3630283] [client 39.74.77.222:41256] AH10244: invalid URI path (/cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh),T8
118,Wed Jan 29 00:00:02 2024,notice,"2898323] AH00171: Graceful restart requested, doing restart",T3
119,Sun Jan 19 00:00:03 2024,notice,2898323] AH00163: Apache/2.4.52 (Ubuntu) OpenSSL/3.0.2 configured -- resuming normal operations,T1
120,Sun Jan 19 00:00:03 2024,notice,2898323] AH00094: Command line: '/usr/sbin/apache2',T2
121,Sun Jan 19 10:49:32 2024,error,"3477269] [client 204.10.194.48:53404] PHP Fatal error:  Uncaught Error: Class ""IXR_Client"" not found in /var/www/sylvainkalache.com/wp-includes/IXR/class-IXR-clientmulticall.php:8\nStack trace:\n#0 {main}\n  thrown in /var/www/sylvainkalache.com/wp-includes/IXR/class-IXR-clientmulticall.php on line 8",T20
122,Sun Jan 19 10:49:49 2024,error,"3476557] [client 204.10.194.48:54041] PHP Fatal error:  Uncaught Error: Class ""IXR_Server"" not found in /var/www/sylvainkalache.com/wp-includes/IXR/class-IXR-introspectionserver.php:9\nStack trace:\n#0 {main}\n  thrown in /var/www/sylvainkalache.com/wp-includes/IXR/class-IXR-introspectionserver.php on line 9",T20
123,Sun Jan 19 10:50:56 2024,error,"3476679] [client 204.10.194.48:61788] PHP Fatal error:  Uncaught Error: Undefined constant ""ABSPATH"" in /var/www/sylvainkalache.com/wp-includes/Requests/library/Requests.php:12\nStack trace:\n#0 {main}\n  thrown in /var/www/sylvainkalache.com/wp-includes/Requests/library/Requests.php on line 12",T41
